Category,Item,Description,Updated Price,Current Shop Price,Original price,Extra,30%,35%,40%,,Updated Website - Collection,Updated Website - Delivery,Current Website,,delivery,current delivery,Uber,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEEF BURGER,PLAIN BEEF,"Beef Patty, Lettuce, & Tomato Sauce",$7.50 ,$6.00 ,$2.62 ,,$7.86 ,$7.34 ,$6.55 ,,$8.30 ,$8.70 ,7.5,8.25,$8.63 ,$7.88 ,$10.79 ,,,,,,,,,,
,CHEESE BURGER,"Beef Patty, Cheese, Lettuce, & Tomato Sauce",$8.30 ,$6.90 ,$2.62 ,$0.80 ,$8.66 ,$8.14 ,$7.35 ,,$9.20 ,$9.60 ,8.4,9.13,$9.55 ,$8.82 ,$11.96 ,,,,,,,,,,
,DOUBLE BEEF CHEESE,"Two Beef Patties, Double Cheese, Lettuce, & Tomato Sauce",$13.40 ,$10.90 ,$4.17 ,$1.60 ,$14.11 ,$13.28 ,$12.03 ,,$14.80 ,$15.50 ,13.5,14.74,$15.41 ,$14.18 ,$19.24 ,,,,,,,,,,
,THE LOT,"Beef Patty, Egg, Bacon, Cheese, Tomato, Red Onion, Lettuce, & Tomato Relish",$11.20 ,$9.80 ,$2.62 ,$3.70 ,$11.56 ,$11.04 ,$10.25 ,,$12.40 ,$12.90 ,11.5,12.32,$12.88 ,$12.08 ,$16.12 ,,,,,,,,,,
,MEXICAN,"Beef Patty, Jalapenos, Cheese, Tomato, Red Onion, Lettuce, & Peri Peri Mayo",$10.20 ,$8.50 ,$2.62 ,$2.70 ,$10.56 ,$10.04 ,$9.25 ,,$11.30 ,$11.80 ,10.5,11.22,$11.73 ,$11.03 ,$14.69 ,,,,,,,,,,
,TROPICAL,"Beef Patty, Bacon, Pineapple, Cheese, Lettuce, Mayo, & Tomato Relish",$10.30 ,$8.90 ,$2.62 ,$2.80 ,$10.66 ,$10.14 ,$9.35 ,,$11.40 ,$11.90 ,10.9,11.33,$11.85 ,$11.45 ,$14.82 ,,,,,,,,,,
,BLT CHEESE,"Beef Patty, Bacon, Cheese, Tomato, Lettuce, Mayo, & Tomato Sauce",$9.70 ,$8.90 ,$2.62 ,$2.20 ,$10.06 ,$9.54 ,$8.75 ,,$10.70 ,$11.20 ,10.9,10.67,$11.16 ,$11.45 ,$13.91 ,,,,,,,,,,
,BBQ CHEESE,"Beef Patty, Bacon, Cheese, Red Onion, Lettuce, & BBQ Sauce",$9.80 ,$8.90 ,$2.62 ,$2.30 ,$10.16 ,$9.64 ,$8.85 ,,$10.80 ,$11.30 ,10.9,10.78,$11.27 ,$11.45 ,$14.04 ,,,,,,,,,,
,ROYALE WITH CHEESE,"Beef Patty, Double Cheese, Red Onion, Pickles, Tomato Relish & Mustard",$10.10 ,$9.50 ,$2.62 ,$2.60 ,$10.46 ,$9.94 ,$9.15 ,,$11.20 ,$11.70 ,10.9,11.11,$11.62 ,$11.45 ,$14.56 ,,,,,,,,,,
,THE AUSSIE,"Beef Patty, Egg, Bacon, Cheese, Beetroot, Tomato, Red Onion, Lettuce, BBQ Sauce, & Tomato Sauce",$12.20 ,$9.90 ,$2.62 ,$4.70 ,$12.56 ,$12.04 ,$11.25 ,,$13.50 ,$14.10 ,12.5,13.42,$14.03 ,$13.13 ,$17.55 ,,,,,,,,,,
,Add  Egg / Bacon/ PineApple / Jalapenos,,1,1,,,,,,,,,1.1,1.1,$1.15 ,$1.15 ,$0.00 ,,,,,,,,,,
,Add Cheese / Beetroot ,,0.8,0.8,,,,,,,,,0.9,0.88,$0.92 ,$0.92 ,$0.00 ,,,,,,,,,,
,Add Lettuce / Tomato,,0.4,0.4,,,,,,,,,0.45,0.44,$0.46 ,$0.46 ,$0.00 ,,,,,,,,,,
,Add Pickle / Onion / Grilled Onion,,0.5,0.5,,,,,,,,,0.55,0.55,$0.58 ,$0.58 ,$0.00 ,,,,,,,,,,
,Add meat patty,,3.5,,1.55,,,$4.34 ,$3.88 ,,,,3.9,,,,,,,,,,,,,,
